EmployeeNumber,Age,Department,JobRole,Salary,YearsAtCompany,JobSatisfaction,WorkLifeBalance,PerformanceRating,Education,EducationField,Gender,MaritalStatus,NumCompaniesWorked,TotalWorkingYears,TrainingTimesLastYear,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,HireDate,TerminationDate,Attrition
210,65,HR,HR Specialist,66557,13,4,3,2,2,Human Resources,Male,Single,6,20,6,13,13,2,2012-02-16,,No
211,39,Marketing,Marketing Specialist,53646,13,3,3,3,5,Marketing,Female,Married,5,19,6,13,13,13,2012-02-22,2013-04-17,Yes
212,44,Marketing,Marketing Specialist,73924,13,4,4,1,1,Other,Male,Married,3,14,5,6,0,8,2012-02-23,,No
213,42,Operations,Supply Chain Manager,71778,13,3,3,2,4,Technical Degree,Male,Married,0,20,3,13,1,11,2012-02-24,,No
214,40,Sales,Sales Director,107289,13,1,5,1,2,Marketing,Female,Single,8,21,6,5,5,4,2012-02-26,2019-08-26,Yes
215,32,Research,Research Director,85045,13,4,1,2,1,Medical,Male,Single,3,17,1,13,4,13,2012-02-27,2021-01-11,Yes
216,41,Sales,Sales Manager,88437,13,5,1,4,3,Life Sciences,Male,Single,1,16,3,5,2,13,2012-02-29,,No
217,28,Engineering,Engineering Manager,132076,13,3,1,4,2,Technical Degree,Male,Single,7,16,4,13,6,13,2012-03-04,,No
218,33,IT,Technical Specialist,91348,13,5,3,4,1,Technical Degree,Male,Married,1,16,5,13,13,5,2012-03-15,2022-02-02,Yes
219,31,IT,Developer,114021,13,2,3,1,5,Other,Female,Single,4,18,2,13,13,2,2012-03-17,,No
220,35,IT,Developer,106116,13,3,2,5,3,Technical Degree,Male,Married,10,16,3,13,13,11,2012-03-20,2013-10-24,Yes
221,53,Operations,Supply Chain Manager,73404,13,4,2,2,5,Technical Degree,Male,Married,5,19,0,13,6,1,2012-03-26,2014-11-10,Yes
222,20,Research,Research Director,100195,13,3,1,4,1,Life Sciences,Male,Divorced,10,19,1,8,3,13,2012-03-28,2013-08-15,Yes
223,40,IT,Developer,112306,13,5,5,2,5,Technical Degree,Male,Divorced,7,17,0,9,7,5,2012-03-30,,No
224,22,Engineering,Senior Engineer,112569,13,1,2,1,1,Technical Degree,Male,Married,10,17,3,13,7,13,2012-03-31,2017-12-24,Yes
225,31,IT,Developer,99643,13,3,2,5,1,Technical Degree,Male,Single,0,22,5,13,10,13,2012-04-03,2020-07-15,Yes
226,43,Engineering,Engineer,126783,13,4,3,1,5,Technical Degree,Male,Married,0,20,2,13,13,13,2012-04-03,,No
227,35,HR,HR Manager,109015,13,2,5,2,1,Life Sciences,Female,Married,3,19,2,13,13,7,2012-04-05,2016-08-09,Yes
228,26,IT,Technical Specialist,86167,13,1,1,5,2,Life Sciences,Female,Single,4,19,0,13,5,8,2012-04-13,2015-04-11,Yes
229,29,Finance,Financial Analyst,61617,13,2,2,5,1,Life Sciences,Male,Married,8,18,4,13,11,13,2012-04-19,,No
230,40,HR,Recruiter,65542,13,3,5,1,4,Life Sciences,Male,Divorced,10,19,4,10,10,7,2012-04-25,2016-02-29,Yes
231,29,HR,HR Director,119756,13,5,5,4,1,Human Resources,Male,Married,6,19,5,11,5,13,2012-04-26,,No
232,36,HR,HR Director,101025,13,5,1,2,4,Other,Male,Single,6,22,2,5,1,13,2012-04-27,,No
233,35,Research,Research Analyst,87847,13,4,5,3,1,Medical,Male,Single,7,14,0,9,7,11,2012-05-04,,No
234,29,Marketing,Marketing Specialist,60169,13,5,5,3,1,Marketing,Male,Married,4,22,0,11,8,13,2012-05-07,,No
235,52,HR,HR Specialist,72043,13,1,5,1,5,Other,Male,Single,4,14,0,13,7,1,2012-05-13,,No
236,40,Operations,Operations Manager,103051,13,5,2,2,2,Life Sciences,Male,Married,0,22,3,2,1,8,2012-05-14,,No
237,18,Sales,Sales Manager,119859,13,4,1,2,2,Life Sciences,Male,Married,8,19,5,6,2,1,2012-05-16,2018-06-26,Yes
238,36,HR,HR Manager,115087,13,3,5,1,3,Human Resources,Male,Single,5,22,4,13,13,9,2012-05-18,,No
239,29,Finance,Accountant,87432,13,3,5,2,5,Life Sciences,Male,Divorced,8,19,4,13,7,13,2012-05-19,,No
240,41,IT,IT Manager,91231,13,5,2,4,5,Technical Degree,Male,Married,2,19,3,1,1,9,2012-05-22,2020-12-07,Yes
241,28,IT,Developer,119855,13,2,1,1,2,Technical Degree,Male,Single,4,17,1,3,0,10,2012-05-24,2014-02-12,Yes
242,34,Operations,Supply Chain Manager,125965,13,3,3,4,5,Life Sciences,Male,Married,1,13,3,3,3,11,2012-05-25,2016-05-15,Yes
243,39,IT,Engineer,126517,13,5,2,2,2,Technical Degree,Male,Married,9,14,5,13,5,1,2012-05-31,2017-09-12,Yes
244,41,Marketing,Marketing Specialist,77387,13,4,1,1,5,Marketing,Male,Married,4,21,0,13,2,8,2012-06-02,2014-03-27,Yes
245,25,Sales,Sales Manager,105239,12,5,5,2,1,Marketing,Male,Divorced,7,19,3,12,2,12,2012-06-17,,No
246,32,IT,Technical Specialist,96279,12,3,1,1,2,Technical Degree,Male,Married,10,19,0,5,2,1,2012-06-19,2022-02-10,Yes
247,31,Marketing,Marketing Specialist,69641,12,4,1,2,2,Marketing,Male,Divorced,1,21,5,12,10,10,2012-06-27,2013-09-03,Yes
248,29,HR,HR Director,138795,12,5,1,4,4,Life Sciences,Male,Married,7,12,6,12,9,4,2012-06-29,,No
249,49,Engineering,Engineer,103440,12,1,3,4,5,Life Sciences,Female,Married,3,17,5,6,1,12,2012-07-01,,No
250,38,Finance,Controller,143083,12,4,1,2,5,Other,Male,Divorced,9,20,2,12,8,6,2012-07-07,2016-09-18,Yes
251,24,Research,Research Director,88199,12,1,3,1,2,Medical,Male,Married,9,19,0,12,12,5,2012-07-17,2014-11-09,Yes
252,42,Marketing,Marketing Director,140038,12,2,5,3,1,Marketing,Female,Single,0,14,4,12,2,5,2012-07-27,2019-12-23,Yes
253,51,IT,Engineer,129541,12,4,3,4,1,Life Sciences,Male,Married,4,15,3,8,6,12,2012-08-04,2019-06-07,Yes
254,43,Operations,Supply Chain Manager,94815,12,1,5,4,1,Other,Male,Married,0,14,6,8,8,3,2012-08-05,,No
255,22,Engineering,Engineer,81267,12,3,5,3,5,Technical Degree,Female,Single,6,17,5,12,9,2,2012-08-07,2019-12-11,Yes
256,31,Operations,Operations Manager,94006,12,3,3,2,4,Life Sciences,Female,Divorced,7,20,0,9,1,4,2012-08-07,2021-07-18,Yes
257,45,Research,Research Analyst,71417,12,2,2,1,2,Life Sciences,Male,Single,2,19,6,11,3,12,2012-08-09,2022-04-19,Yes
258,29,Research,Research Analyst,88902,12,4,4,2,3,Other,Male,Single,2,21,1,12,12,9,2012-08-09,2014-06-04,Yes
259,38,IT,System Administrator,100907,12,4,1,5,4,Life Sciences,Male,Divorced,6,15,2,12,5,10,2012-08-12,2015-02-24,Yes
260,41,IT,IT Manager,147449,12,4,4,4,3,Life Sciences,Male,Married,3,13,1,12,12,12,2012-08-17,2019-08-29,Yes
261,27,Operations,Supply Chain Manager,90388,12,2,1,5,4,Other,Male,Single,2,19,5,12,4,1,2012-08-24,2016-10-11,Yes
262,34,Finance,Finance Manager,128740,12,4,1,4,1,Other,Male,Married,7,19,1,12,12,11,2012-08-24,2017-11-22,Yes
263,18,Research,Research Director,141965,12,3,5,4,5,Medical,Male,Married,2,17,1,12,12,12,2012-08-29,,No
264,26,Engineering,Technical Director,109995,12,1,1,5,3,Technical Degree,Female,Single,6,19,2,5,5,10,2012-08-30,,No
265,32,HR,HR Manager,82145,12,3,1,5,4,Human Resources,Female,Divorced,1,20,2,12,7,12,2012-09-02,2018-04-18,Yes
266,25,IT,Technical Specialist,99613,12,3,3,2,5,Technical Degree,Male,Married,10,12,2,9,9,8,2012-09-05,2017-06-05,Yes
267,48,Sales,Account Executive,66977,12,1,4,5,3,Other,Female,Married,10,20,6,12,12,2,2012-09-07,,No
268,23,HR,HR Specialist,53688,12,3,3,2,2,Human Resources,Male,Married,0,13,2,12,12,7,2012-09-17,2016-05-20,Yes
269,31,Research,Research Analyst,91898,12,2,1,2,4,Life Sciences,Female,Married,5,12,1,3,0,7,2012-09-19,2015-02-14,Yes
270,36,Finance,Accountant,69230,12,1,5,2,2,Other,Male,Single,7,19,4,12,1,12,2012-09-24,,No
271,46,Operations,Supply Chain Manager,106803,12,3,3,4,1,Life Sciences,Male,Single,0,19,4,5,1,8,2012-09-29,2022-01-28,Yes
272,23,IT,IT Manager,101173,12,5,3,4,2,Other,Male,Married,9,15,2,8,2,12,2012-10-01,,No
273,44,Operations,Supply Chain Manager,126693,12,3,2,5,2,Life Sciences,Male,Divorced,8,19,6,12,7,1,2012-10-10,2015-05-19,Yes
274,35,Finance,Controller,85375,12,2,1,4,4,Marketing,Male,Single,2,18,3,12,2,12,2012-10-24,,No
275,27,Marketing,Brand Manager,85600,12,4,5,5,1,Marketing,Female,Married,2,13,0,3,1,3,2012-10-25,,No
276,38,IT,Developer,105097,12,3,3,4,2,Technical Degree,Female,Divorced,3,16,5,12,12,6,2012-10-28,,No
277,36,Sales,Sales Manager,111971,12,4,3,1,5,Other,Male,Single,10,21,6,12,8,12,2012-11-02,,No
278,30,Research,Research Analyst,64111,12,5,5,1,3,Medical,Male,Single,0,15,3,11,7,4,2012-11-09,,No
279,35,IT,Developer,110660,12,3,1,5,2,Technical Degree,Male,Married,8,14,5,8,0,3,2012-11-15,,No
280,31,IT,IT Manager,107684,12,1,2,4,1,Other,Female,Married,10,12,3,12,12,4,2012-11-15,2019-11-04,Yes
281,35,IT,System Administrator,57682,12,4,3,4,2,Other,Female,Single,2,16,3,10,9,5,2012-11-16,,No
282,40,Operations,Operations Specialist,71832,12,5,2,2,3,Other,Female,Married,9,21,4,12,9,12,2012-11-17,,No
283,47,Operations,Supply Chain Manager,110491,12,1,4,3,1,Technical Degree,Female,Married,3,19,0,12,5,10,2012-11-23,2018-09-22,Yes
284,25,Marketing,Marketing Specialist,57189,12,1,1,5,4,Life Sciences,Male,Married,0,20,3,7,5,8,2012-11-23,2017-11-28,Yes
285,52,IT,System Administrator,76770,12,1,4,3,1,Life Sciences,Male,Single,3,18,2,12,12,12,2012-11-26,2018-10-01,Yes
286,19,HR,HR Director,151477,12,1,4,3,4,Human Resources,Male,Married,0,12,5,6,5,3,2012-12-01,,No
287,33,Marketing,Marketing Manager,83917,12,3,4,5,1,Life Sciences,Female,Married,4,12,6,12,12,12,2012-12-05,,No
288,39,Finance,Finance Manager,80767,12,3,1,4,3,Other,Male,Divorced,4,12,4,12,3,8,2012-12-05,2017-12-23,Yes
289,37,Engineering,Technical Director,149719,12,3,1,5,3,Technical Degree,Male,Divorced,10,13,5,12,3,1,2012-12-09,2017-03-28,Yes
290,30,IT,System Administrator,65750,12,5,5,3,1,Life Sciences,Female,Married,6,12,2,12,1,12,2012-12-12,,No
291,33,Operations,Operations Manager,83006,12,5,2,4,2,Life Sciences,Male,Married,7,15,2,1,0,12,2012-12-13,2014-07-31,Yes
292,31,Finance,Finance Manager,110221,12,5,2,1,3,Life Sciences,Male,Married,3,21,3,12,10,12,2012-12-17,,No
293,30,Finance,Financial Analyst,90568,12,2,5,5,4,Other,Female,Single,6,20,2,12,3,3,2012-12-21,,No
294,41,Sales,Sales Manager,109652,12,5,5,5,4,Other,Male,Single,3,15,0,3,3,12,2012-12-27,,No
295,37,Operations,Operations Specialist,60346,12,3,4,4,5,Technical Degree,Male,Married,2,15,2,6,4,12,2012-12-28,,No
296,29,Engineering,Technical Director,106108,12,3,5,1,4,Technical Degree,Female,Single,5,18,3,4,4,12,2012-12-29,2019-02-25,Yes
297,42,IT,Technical Specialist,74176,12,2,3,1,5,Technical Degree,Female,Single,3,20,5,4,3,10,2013-01-05,2018-11-02,Yes
298,37,IT,System Administrator,61829,12,2,2,4,1,Technical Degree,Female,Divorced,2,18,2,4,0,1,2013-01-06,2016-01-29,Yes
299,41,Sales,Sales Director,120667,12,5,5,2,1,Other,Male,Single,8,12,4,10,10,6,2013-01-09,,No
300,40,Marketing,Marketing Specialist,80543,12,4,3,5,1,Other,Male,Single,4,12,6,9,9,9,2013-01-14,2014-03-09,Yes
301,28,HR,Recruiter,64076,12,2,3,5,2,Human Resources,Female,Single,6,15,4,8,7,10,2013-01-15,2016-01-05,Yes
302,30,IT,IT Manager,85271,12,1,3,3,2,Technical Degree,Male,Married,5,15,4,12,12,12,2013-01-21,2021-09-29,Yes
303,40,IT,Engineer,96340,12,3,3,4,5,Technical Degree,Male,Married,9,12,5,12,1,9,2013-01-29,2021-11-23,Yes
304,39,Research,Research Analyst,76409,12,1,4,3,4,Other,Female,Married,4,17,1,12,8,12,2013-01-30,,No
305,34,IT,Technical Specialist,112840,12,3,3,3,4,Life Sciences,Male,Married,6,21,6,1,0,11,2013-01-31,2021-02-01,Yes
306,35,HR,Recruiter,63228,12,3,4,1,1,Life Sciences,Male,Married,10,13,4,12,12,7,2013-02-07,2017-12-27,Yes
307,45,IT,System Administrator,61862,12,2,4,5,3,Technical Degree,Male,Divorced,5,16,4,12,12,2,2013-02-11,2020-01-18,Yes
308,30,HR,HR Director,117201,12,2,3,3,2,Other,Male,Divorced,9,19,1,12,12,12,2013-02-12,2017-08-03,Yes
309,39,IT,System Administrator,66692,12,1,2,1,2,Other,Male,Divorced,1,14,5,12,12,6,2013-02-15,2020-10-21,Yes
310,33,Marketing,Marketing Manager,76661,12,3,3,4,1,Marketing,Male,Married,2,20,6,11,9,5,2013-02-15,,No
311,33,IT,System Administrator,106638,12,1,3,3,2,Technical Degree,Female,Single,1,18,4,3,0,5,2013-02-16,2020-05-02,Yes
312,43,Research,Research Analyst,55794,12,4,3,5,1,Life Sciences,Female,Single,2,20,3,12,10,6,2013-02-21,,No
313,41,IT,Developer,105313,12,1,2,3,5,Technical Degree,Male,Single,0,12,5,8,8,10,2013-02-25,2015-11-25,Yes
314,41,Marketing,Marketing Specialist,76427,12,5,1,4,4,Life Sciences,Male,Married,7,16,6,12,3,12,2013-02-26,2015-01-25,Yes
315,45,Research,Research Director,114790,12,1,1,3,3,Life Sciences,Male,Divorced,5,14,4,10,9,12,2013-03-01,2016-08-08,Yes
316,35,Operations,Operations Specialist,63189,12,5,4,5,4,Other,Male,Married,1,15,4,12,2,3,2013-03-03,,No
317,40,Marketing,Marketing Manager,78050,12,5,4,1,4,Marketing,Female,Single,7,15,1,8,5,1,2013-03-06,,No
318,32,HR,HR Director,130883,12,5,2,5,5,Human Resources,Female,Married,5,18,6,12,2,10,2013-03-07,2020-11-13,Yes
319,37,HR,HR Director,97450,12,4,5,1,2,Other,Female,Divorced,6,21,3,1,0,3,2013-03-07,,No
320,33,Operations,Operations Manager,70310,12,1,1,2,3,Life Sciences,Male,Married,10,19,5,12,8,5,2013-03-10,2022-11-07,Yes
321,35,Engineering,Engineer,109528,12,1,4,5,2,Technical Degree,Male,Divorced,0,21,2,12,2,10,2013-03-19,,No
322,39,Operations,Operations Manager,82105,12,4,1,5,4,Other,Male,Divorced,6,16,0,7,1,12,2013-03-21,2014-05-19,Yes
323,28,Marketing,Marketing Manager,112311,12,3,2,4,1,Other,Male,Divorced,2,21,3,12,7,1,2013-03-23,2021-07-03,Yes
324,51,Sales,Sales Representative,76891,12,2,2,3,4,Marketing,Female,Married,10,18,2,9,5,6,2013-03-29,2015-02-02,Yes
325,26,Finance,Controller,80022,12,1,5,1,2,Other,Female,Married,7,14,3,12,7,9,2013-03-31,,No
326,25,IT,System Administrator,103929,12,2,5,1,4,Technical Degree,Male,Single,5,14,6,12,12,5,2013-03-31,,No
327,44,Marketing,Marketing Specialist,79612,12,4,2,4,1,Marketing,Female,Single,3,14,2,9,9,12,2013-04-04,2016-03-11,Yes
328,41,Engineering,Engineering Manager,119950,12,3,4,4,5,Technical Degree,Male,Married,10,15,6,12,6,10,2013-04-04,2019-02-17,Yes
329,39,IT,Engineer,73998,12,3,1,3,2,Life Sciences,Male,Single,7,17,2,12,12,2,2013-04-05,2017-12-28,Yes
330,40,Operations,Operations Specialist,65802,12,3,3,3,4,Technical Degree,Male,Divorced,8,16,3,3,1,5,2013-04-08,,No
331,34,IT,IT Manager,93338,12,4,5,5,2,Other,Male,Single,9,19,1,4,0,1,2013-04-11,,No
332,27,Marketing,Marketing Director,132910,12,5,3,2,5,Life Sciences,Male,Divorced,1,16,3,10,0,10,2013-04-11,,No
333,35,IT,System Administrator,58454,12,5,4,3,4,Other,Female,Married,5,16,6,4,4,9,2013-04-12,2023-01-29,Yes
334,29,Finance,Accountant,86023,12,2,5,4,4,Other,Female,Married,4,21,3,12,12,3,2013-04-12,2020-12-24,Yes
335,42,Sales,Sales Director,85349,12,5,3,3,2,Other,Male,Divorced,4,13,2,9,7,12,2013-04-16,2020-10-05,Yes
336,33,HR,HR Director,97750,12,5,4,1,2,Human Resources,Male,Married,9,16,0,12,12,4,2013-04-17,,No
337,28,Operations,Operations Manager,78686,12,3,1,2,1,Life Sciences,Female,Married,10,18,2,1,0,12,2013-04-18,,No
338,32,Sales,Sales Director,102787,12,3,4,5,5,Other,Female,Single,2,13,4,5,0,6,2013-04-19,,No
339,38,Engineering,Technical Director,147427,12,2,5,1,1,Technical Degree,Female,Married,7,17,3,9,9,12,2013-04-21,,No
340,30,IT,Engineer,128308,12,1,2,1,4,Technical Degree,Male,Single,7,18,5,5,5,5,2013-05-08,2018-10-07,Yes
341,28,HR,Recruiter,83059,12,2,1,2,2,Human Resources,Female,Married,4,16,3,6,4,12,2013-05-22,2017-02-20,Yes
342,36,IT,IT Manager,92877,12,2,3,5,4,Other,Male,Married,7,20,1,12,1,8,2013-05-23,2016-01-18,Yes
343,36,Engineering,Senior Engineer,110354,12,4,5,4,4,Life Sciences,Female,Married,9,15,6,8,8,5,2013-05-24,2017-05-26,Yes
344,30,Engineering,Technical Director,100534,12,4,2,5,3,Technical Degree,Male,Married,7,21,5,10,8,12,2013-05-25,2021-10-27,Yes
345,31,Marketing,Marketing Manager,90531,12,2,4,3,3,Marketing,Female,Married,2,12,2,11,5,1,2013-05-27,,No
346,36,Research,Research Scientist,123135,12,2,2,1,4,Life Sciences,Male,Married,1,19,1,12,7,1,2013-06-05,2019-02-16,Yes
347,23,Marketing,Marketing Director,140842,12,2,5,3,2,Other,Male,Divorced,8,19,3,12,8,7,2013-06-06,2016-04-05,Yes
348,23,Operations,Operations Manager,113738,11,5,5,4,4,Life Sciences,Male,Married,1,17,2,4,0,11,2013-06-19,,No
349,29,IT,Engineer,91251,11,4,2,3,3,Technical Degree,Male,Married,8,18,2,11,7,6,2013-07-01,,No
350,33,Sales,Sales Manager,110434,11,2,4,5,2,Marketing,Female,Married,3,12,4,11,11,5,2013-07-02,,No
351,37,IT,Developer,81555,11,3,2,3,4,Technical Degree,Female,Divorced,1,13,4,5,1,11,2013-07-02,2021-07-08,Yes
352,46,Research,Research Analyst,56031,11,3,5,4,5,Life Sciences,Female,Married,9,19,0,10,7,11,2013-07-05,,No
353,41,Sales,Sales Manager,112858,11,5,5,4,5,Marketing,Male,Married,0,11,4,7,2,5,2013-07-10,,No
354,33,Sales,Sales Representative,55437,11,5,3,4,4,Life Sciences,Female,Married,3,18,6,11,11,11,2013-07-15,2015-03-10,Yes
355,34,IT,System Administrator,89318,11,1,3,5,2,Life Sciences,Female,Married,8,18,5,9,2,9,2013-07-19,,No
356,26,HR,HR Specialist,87450,11,1,1,4,4,Life Sciences,Male,Single,8,17,2,9,1,1,2013-07-20,,No
357,34,HR,HR Director,100223,11,1,5,1,4,Human Resources,Male,Married,3,15,4,10,10,8,2013-07-20,,No
358,32,HR,HR Director,159392,11,5,3,4,3,Human Resources,Female,Married,8,14,0,10,0,2,2013-07-21,,No
359,37,IT,IT Manager,87970,11,5,2,3,5,Other,Female,Divorced,5,20,3,2,2,7,2013-07-24,,No
360,28,Engineering,Technical Director,109416,11,5,4,3,3,Technical Degree,Female,Married,0,20,5,4,3,6,2013-08-01,,No
361,39,Marketing,Marketing Manager,116996,11,3,2,3,3,Marketing,Male,Married,9,20,4,8,1,10,2013-08-01,2021-11-05,Yes
362,47,HR,HR Director,95639,11,5,4,5,4,Human Resources,Male,Single,5,20,2,11,11,2,2013-08-04,2022-07-15,Yes
363,34,HR,HR Manager,92058,11,3,3,3,3,Other,Male,Divorced,8,16,3,11,1,11,2013-08-07,,No
364,38,Finance,Financial Analyst,71980,11,1,1,5,5,Other,Female,Divorced,1,11,6,11,11,11,2013-08-20,2016-02-06,Yes
365,40,Operations,Supply Chain Manager,80866,11,1,2,5,3,Other,Female,Single,5,15,2,11,11,3,2013-08-22,2016-12-31,Yes
366,31,Marketing,Brand Manager,113226,11,1,2,4,5,Marketing,Male,Single,1,14,3,11,11,4,2013-08-25,,No
367,36,Engineering,Engineering Manager,104687,11,2,2,1,3,Technical Degree,Female,Married,3,14,6,11,4,7,2013-08-31,2023-04-15,Yes
368,35,Finance,Financial Analyst,57631,11,2,4,4,5,Other,Male,Married,7,17,6,11,6,8,2013-09-03,2022-09-16,Yes
369,35,Engineering,Engineering Manager,144471,11,4,3,4,3,Technical Degree,Female,Married,6,19,5,8,1,11,2013-09-03,,No
370,28,Research,Research Director,132664,11,4,2,5,3,Life Sciences,Male,Single,10,18,2,11,10,11,2013-09-10,2015-02-25,Yes
371,35,IT,Engineer,79557,11,4,2,5,2,Other,Male,Single,8,18,4,11,4,2,2013-09-11,2022-04-16,Yes
372,38,Engineering,Engineering Manager,135420,11,2,1,3,5,Technical Degree,Male,Married,6,15,4,1,0,8,2013-09-13,,No
373,46,IT,Developer,113788,11,2,1,3,5,Technical Degree,Male,Married,0,16,0,11,1,11,2013-09-22,,No
374,42,Research,Research Director,101489,11,4,3,4,5,Medical,Male,Married,1,12,3,11,3,9,2013-09-27,,No
375,52,HR,HR Director,150167,11,4,3,2,1,Human Resources,Male,Married,5,13,0,3,3,7,2013-10-13,2015-01-31,Yes
376,28,Research,Research Scientist,88433,11,5,5,2,3,Medical,Male,Single,6,15,1,11,11,11,2013-10-15,,No
377,41,Research,Research Director,110521,11,4,1,3,5,Life Sciences,Female,Married,2,12,4,11,5,1,2013-10-15,,No
378,36,Research,Research Scientist,86676,11,5,5,2,1,Life Sciences,Male,Single,8,13,3,11,7,6,2013-10-23,2018-07-31,Yes
379,52,Sales,Account Executive,77650,11,3,4,3,2,Life Sciences,Male,Married,6,14,5,10,10,11,2013-10-24,,No
380,28,HR,HR Director,149819,11,2,5,5,5,Other,Male,Married,5,16,0,11,11,8,2013-11-01,,No
381,28,IT,Engineer,96351,11,4,2,4,5,Other,Female,Single,5,15,5,11,3,5,2013-11-01,2018-01-20,Yes
382,30,Finance,Finance Manager,129662,11,2,5,1,1,Other,Male,Single,0,20,5,2,1,11,2013-11-05,,No
383,18,IT,Technical Specialist,108878,11,2,3,4,3,Technical Degree,Female,Single,4,14,5,11,8,11,2013-11-09,2023-04-28,Yes
384,30,Operations,Supply Chain Manager,114293,11,2,4,3,2,Life Sciences,Female,Married,9,12,0,3,1,2,2013-11-13,,No
385,28,HR,HR Manager,110403,11,3,2,3,5,Other,Male,Divorced,2,15,1,11,11,11,2013-11-16,2023-02-13,Yes
386,36,Engineering,Engineering Manager,95372,11,1,5,4,3,Life Sciences,Male,Single,6,15,6,7,7,5,2013-11-26,,No
387,37,Operations,Operations Specialist,80193,11,4,4,3,2,Technical Degree,Male,Divorced,9,17,6,8,8,8,2013-12-01,,No
388,50,Research,Research Scientist,108187,11,1,4,2,4,Life Sciences,Male,Single,2,11,0,11,11,2,2013-12-06,,No
389,42,IT,IT Manager,124552,11,1,2,2,4,Technical Degree,Female,Divorced,4,14,6,11,8,1,2013-12-09,,No
390,30,Research,Research Analyst,89069,11,1,5,3,2,Life Sciences,Female,Married,6,15,2,11,11,11,2013-12-11,,No
391,27,Engineering,Engineering Manager,105168,11,2,4,3,1,Technical Degree,Male,Married,2,18,6,6,6,4,2013-12-11,,No
392,38,Finance,Finance Manager,136455,11,5,4,2,2,Other,Male,Married,9,18,4,11,1,4,2013-12-14,,No
393,24,Operations,Operations Manager,112458,11,2,1,3,2,Other,Female,Married,1,11,0,11,5,9,2013-12-16,2017-03-05,Yes
394,49,Sales,Sales Representative,61488,11,2,4,3,1,Marketing,Female,Divorced,5,15,6,10,10,3,2013-12-17,2020-07-26,Yes
395,44,IT,IT Manager,132669,11,1,1,4,1,Other,Male,Married,7,20,0,11,4,4,2013-12-18,,No
396,31,Marketing,Brand Manager,93457,11,2,5,1,3,Life Sciences,Male,Married,3,11,1,11,11,3,2013-12-21,,No
397,21,HR,HR Specialist,71352,11,1,5,2,3,Other,Male,Single,8,11,2,2,2,2,2013-12-28,2021-02-25,Yes
398,45,IT,Engineer,104386,11,5,5,4,1,Life Sciences,Female,Single,7,12,0,6,1,4,2014-01-02,,No
399,34,HR,HR Specialist,69968,11,4,3,1,4,Other,Male,Divorced,6,12,4,5,1,11,2014-01-06,2016-05-30,Yes
400,44,IT,Engineer,118817,11,1,5,3,4,Technical Degree,Male,Married,6,19,6,4,1,8,2014-01-07,,No
401,22,IT,Developer,70265,11,5,4,3,2,Other,Female,Married,2,14,4,2,1,1,2014-01-09,,No
402,30,IT,Technical Specialist,100624,11,4,2,4,5,Technical Degree,Female,Married,5,13,6,11,5,8,2014-01-17,,No
403,35,Engineering,Engineer,125165,11,3,1,3,2,Technical Degree,Female,Divorced,4,11,0,3,2,8,2014-01-22,2022-04-21,Yes
404,35,Marketing,Marketing Manager,99389,11,1,3,5,2,Marketing,Male,Married,0,12,5,6,0,11,2014-01-22,2018-01-16,Yes
405,31,Engineering,Engineering Manager,106014,11,1,5,4,5,Technical Degree,Male,Married,10,16,6,11,11,3,2014-01-23,2015-08-24,Yes
406,39,Finance,Financial Analyst,56022,11,3,5,1,1,Other,Female,Married,2,19,5,8,3,11,2014-01-27,,No
407,26,HR,HR Specialist,58756,11,3,2,4,4,Other,Male,Married,0,15,2,11,11,10,2014-02-01,2019-05-19,Yes
408,33,Marketing,Marketing Director,119192,11,1,2,2,2,Marketing,Male,Single,3,14,4,11,9,10,2014-02-01,2022-01-21,Yes
409,35,Finance,Accountant,92597,11,3,3,4,5,Other,Male,Divorced,9,15,5,11,1,11,2014-02-07,2023-11-26,Yes
410,39,IT,System Administrator,96751,11,2,1,3,3,Technical Degree,Male,Married,2,19,4,3,1,11,2014-02-07,,No
411,40,Operations,Operations Specialist,74005,11,4,5,3,2,Technical Degree,Male,Divorced,10,17,6,11,6,6,2014-02-08,,No
412,26,IT,Technical Specialist,102333,11,4,3,5,4,Technical Degree,Female,Single,3,18,6,11,5,11,2014-02-12,,No
413,22,Operations,Supply Chain Manager,115406,11,4,4,5,1,Other,Female,Single,8,14,2,7,0,11,2014-02-13,,No
414,45,Operations,Operations Specialist,64219,11,2,4,5,2,Technical Degree,Female,Divorced,2,18,6,11,11,4,2014-02-16,2018-01-15,Yes
415,37,IT,Developer,84276,11,3,3,1,2,Technical Degree,Male,Married,5,16,2,11,11,11,2014-02-19,,No
416,29,IT,Technical Specialist,125735,11,5,5,5,5,Other,Male,Married,5,15,5,6,2,1,2014-02-21,,No
417,47,Sales,Sales Director,89953,11,3,3,1,3,Life Sciences,Male,Married,6,17,6,11,8,11,2014-03-06,2016-11-04,Yes
418,35,Finance,Financial Analyst,77560,11,1,5,5,3,Life Sciences,Female,Married,8,16,0,11,9,1,2014-03-07,,No
419,44,IT,Technical Specialist,115104,11,4,2,1,1,Technical Degree,Male,Married,6,13,3,4,0,5,2014-03-09,2017-02-10,Yes
420,35,Engineering,Technical Director,114496,11,3,3,4,4,Life Sciences,Female,Single,0,15,1,11,7,11,2014-03-10,2017-03-12,Yes
